,Date.Disclosed,Project.Name,Project.Number,IFC.Country.Code,Sector,Environmental.Category,Status,Projected.Board.Date,investmen_Loan,investment_approved,year
75,10/4/10,SunBorne Solar,29681,IND,Solar - Renewable Energy Generation,B,Completed,11/18/10,5.9,10,2010
76,10/1/10,Cheves Hydro,29405,PER,Large Hydro - Renewable Energy Generation,A,Completed,12/2/10,85,85,2010
77,9/22/10,NDPL Solar,30154,IND,Solar - Renewable Energy Generation,C,Completed,10/25/10,15,15,2010
78,5/19/10,Energy Dev II,29404,PHL,Geothernal - Renewable Energy Generation,B,Active,6/24/10,75,75,2010
79,5/18/10,San Jacinto,27676,NIC,Geothernal - Renewable Energy Generation,B,Active,6/30/10,60,60,2010
80,4/21/10,Applied Solar,29501,IND,Solar - Renewable Energy Generation,C,Active,5/23/10,15,21,2010
81,4/16/10,Cernavoda and Pestera Wind Farms,28891,ROM,Wind Power - Renewable Energy Generation,A,Active,6/17/10,106.8,106.8,2010
82,4/8/10,Husk Power,29024,IND,Bio-Mass - Renewable Energy Generation,B,Active,5/10/10,0.25,1.25,2010
83,4/5/10,AkEnerji,29359,TUR,Large Hydro - Renewable Energy Generation,A,Completed,6/10/10,75,75,2010
84,3/19/10,China WindPower,28865,CHA,Wind Power - Renewable Energy Generation,B,Active,4/20/10,45,55,2010
85,12/22/09,EDF La Ventosa,28070,MXC,Wind Power - Renewable Energy Generation,B,Active,2/1/10,31.23,35.81,2010
86,12/18/09,EURUS,28434,MXC,Wind Power - Renewable Energy Generation,A,Active,2/18/10,75,75,2010
87,11/24/09,Pando Montelirio,27975,PAN,Large Hydro - Renewable Energy Generation,A,Completed,1/28/10,40,45,2010
88,8/31/09,Auro Mira Bio Systems Kanyakumari Private Limited,28160,IND,Bio-Mass - Renewable Energy Generation,B,Completed,9/30/09,6.21,6.21,2009
89,9/23/08,Norvind S.A.,26207,CHL,Wind Power - Renewable Energy Generation,B,Completed,10/24/08,30.75,30.75,2008
90,7/28/08,Rotor Elektrik Uretim A.S,27191,TUR,Wind Power - Renewable Energy Generation,B,Active,9/8/08,73.72,73.72,2008
91,6/26/08,AES Kavarna,26836,BUL,Wind Power - Renewable Energy Generation,A,Active,8/26/08,62.93,62.93,2008
92,6/4/08,Zhongda Hydro II,26586,CHA,Large Hydro - Renewable Energy Generation,B,Active,7/15/08,23.2,33.2,2008
93,6/3/08,PNOC-EDC Loan,26529,PHL,Geothernal - Renewable Energy Generation,B,Active,7/3/08,100,100,2008
94,4/25/08,Ambuklao-Binga,26996,PHL,Large Hydro - Renewable Energy Generation,B,Active,6/12/08,100,100,2008
95,4/21/08,Century Hydros,26399,CLM,Small Hydro (,B,Active,5/22/08,15.5,15.5,2008
96,3/19/08,Renewable Energy Mezzanine Facility,26055,LTU,Renewable through Financial Intermediaries - Renewable Energy Generation,FI,Completed,4/24/08,34.03,34.03,2008
97,2/1/08,Enerjisa Enerji Uretim A.S.,26016,TUR,Large Hydro - Renewable Energy Generation,B,Active,3/6/08,247.7,247.7,2008
98,12/7/07,AllainDuhanganII,26500,IND,Large Hydro - Renewable Energy Generation,A,Active,2/7/08,31.84,41.84,2008
99,7/30/07,Magat Hydro,26041,PHL,Large Hydro - Renewable Energy Generation,B,Active,9/6/07,105,105,2007
100,7/25/07,La Confluencia,25472,CHL,Large Hydro - Renewable Energy Generation,B,Active,9/14/07,83,83,2007
101,2/27/07,MSPL Limited,25115,IND,Wind Power - Renewable Energy Generation,B,Completed,3/30/07,33,33,2007
102,2/2/07,Hidromaule,25568,CHL,Large Hydro - Renewable Energy Generation,B,Completed,3/5/07,9.7,9.7,2007
103,12/20/06,Bujagali Energy Ltd.,24408,UAN,Large Hydro - Renewable Energy Generation,A,Active,4/19/07,130,130,2007
104,2/10/06,"Zhongda Sanchuan Hydro Development Co., Ltd.",24067,CHA,Large Hydro - Renewable Energy Generation,A,Active,3/13/06,22,22,2006
105,6/16/05,Dodson-Lindblom Hydropower Private Limited,23833,IND,Large Hydro - Renewable Energy Generation,B,Active,7/25/05,17,17,2005
106,12/22/04,La Higuera,21315,CHL,Large Hydro - Renewable Energy Generation,A,Active,3/3/05,45,45,2005
107,12/3/04,Basic Energy,20384,LAC,Wind Power - Renewable Energy Generation,B,Completed,1/15/05,10,25,2005
108,4/16/04,China Green,21576,CHA,Bio-Mass - Renewable Energy Generation,B,Completed,5/24/04,30,30,2004
109,8/11/03,AD Hydro Power Limited,11632,IND,Large Hydro - Renewable Energy Generation,A,Active,10/31/03,40,47,2003
110,5/13/02,El Canada Hydroelectric Project,11444,GUA,Large Hydro - Renewable Energy Generation,B,Completed,6/12/02,15,15,2002
111,2/22/02,Pamir Energy Development,10255,TJK,Large Hydro - Renewable Energy Generation,B,Active,3/28/02,4.5,8,2002
